_unit_id,text_no_rt,predicted_class1,predicted_class2,predicted_where_caution_x,type_of_caution_x,predicted_where_donation,type_of_donation,intention,predicted_where_casuality,infrastructure_or_people
204690712,Cruuuuud. Tornado warning for Denton County. And the TV isn't working. And the Dallas news sites aren't helpful. Cruuuuud.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690713,Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the suspected area.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690714,Tornado on the ground in Azle headed right toward TMS,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690715,US tornado toll rises to 122 (AFP) http://dlvr.it/StLMD,Informative,Information source,,,,,,,
204690716,US tornado toll rises to 122 (AFP) http://dlvr.it/StLMh,Informative,Information source,,,,,,,
204690717,Tornado sirens. This is scary.,Informative,Caution and advice,,A siren has been heard,,,,,
204690718,Sitting in shelter waiting to see if the tornado hits my house. #anxious #scared,Personal,Caution and advice,,Other,,,,,
204690719,US: Joplin Mo. tornado had more than 1 vortex http://fxn.ws/k50jUl,Informative,Information source,,,,,,,
204690720,Tornado reported 2 miles west of Azle TX. This is to the northwest of Ft. Worth. Radar warning... h ...,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690721,Whew that was close. A few broken windows but otherwise survived the tornado.  Now to pick up debris for the rest of the evening.,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690722,This is a serious situation for the DFW Metro. If you know anyone in the central to northern subs have them take c ...,Informative,Unknown,,,,,,,
204690723,#Joplin stats: 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for; approx 8000 stru ...,Informative,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204690724,Tornado Warning for Coal County in OK until 8:30pm CDT. #okwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690725,Holy Hell... Before & after photo of the #Joplin tornado: http://bit.ly/iwqNmq - via @tamarlevine @andyfortson,Informative,Information source,,,,,,,
204690726,Damaging wind threat coming into Tulsa OK #tornado #okwx,Informative,Caution and advice,,Other,,,,,
204690727,@hidama @ambersplace On Thursday we'll collect supplies 7a-7p at 23rd St Zarco. Water Food Toiletries and... http://bit.ly/mbWCzD #Joplin,Informative,Information source,,,,,,,
204690729,DENTON: Take shelter. Possible tornado just to the west of where I-35W and I-35E meet.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690730,Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690731,About 1500 people unaccounted for in #joplin. many of those may be alive just can't reach loved ones. #ac360 10p,Informative,"People missing, found or seen",,,,,,,
204690732,@facethewind_com Awesome tornado picture Dave. May we use it on msnbc.com?,Informative,Caution and advice,,Other,,,,,
